Current Region,voters,supporters,precinct_count
R01 - Inner Nova,294111,235474,86
R02 - Fairfax,586009,391043,192
R03 - Loudoun,473496,242485,167
R04 - Prince William,590890,359716,192
R05 - Fredericksburg,400269,144948,160
R06 - North Richmond,384866,219354,152
R07 - South Richmond,393916,231353,129
R08 - Newport News,303802,181328,93
R09 - Suffolk,404216,203089,167
R10 - Virginia Beach / Norfolk,525577,273579,176
R11 - Southside,318646,128024,172
R12 - Shenandoah,583753,166371,261
R13 - Southwest,822141,174649,506
R14 - Charlottesville,286345,131413,130
